               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,    train/theta_loss,   metrics/precision,      metrics/recall,    metrics/HBBmAP.5,metrics/HBBmAP.5:.95,        val/box_loss,        val/obj_loss,        val/cls_loss,      val/theta_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.038092,            0.023003,           0.0043138,             0.14282,              0.8624,             0.83348,             0.84659,             0.36047,            0.037804,            0.021047,           0.0036679,             0.14131,           0.0080721,           0.0080721,           0.0080721
                 100,            0.038819,            0.023526,           0.0038267,             0.14456,             0.89147,             0.82527,             0.86342,             0.37628,            0.037494,            0.021101,           0.0048613,             0.14399,           0.0080362,           0.0080362,           0.0080362
                 101,            0.038204,            0.023615,            0.003559,             0.14239,             0.91282,             0.89743,             0.90664,             0.37724,            0.036855,            0.020866,           0.0037287,             0.14485,               0.008,               0.008,               0.008
                 102,            0.038351,            0.024229,           0.0041644,             0.14252,             0.83782,             0.80306,             0.78921,             0.30012,            0.038148,            0.020937,           0.0040146,             0.14562,           0.0079636,           0.0079636,           0.0079636
                 103,            0.037044,            0.023402,           0.0038315,              0.1439,             0.89873,             0.81625,             0.89061,             0.41285,            0.034828,            0.020989,           0.0059888,             0.14355,            0.007927,            0.007927,            0.007927
                 104,            0.036857,            0.023124,           0.0040276,             0.14151,             0.92721,             0.90789,             0.93022,             0.42679,            0.038267,            0.020764,           0.0048405,             0.13818,           0.0078902,           0.0078902,           0.0078902
                 105,            0.038623,            0.020753,           0.0039765,             0.14048,              0.8862,             0.88648,             0.89021,             0.34455,            0.038529,            0.021593,           0.0040272,             0.14066,           0.0078532,           0.0078532,           0.0078532
                 106,            0.037182,            0.023931,           0.0043658,             0.14307,             0.83154,             0.82975,             0.84508,             0.32152,            0.038748,            0.021073,           0.0050462,             0.14079,            0.007816,            0.007816,            0.007816
                 107,            0.036819,            0.022973,           0.0042439,             0.14296,             0.86344,             0.84198,             0.83139,             0.33727,            0.037947,            0.020872,           0.0041405,             0.14236,           0.0077785,           0.0077785,           0.0077785
                 108,            0.038342,            0.023408,           0.0038694,             0.14095,             0.85374,             0.80586,             0.83526,             0.34959,             0.03826,            0.021266,           0.0053022,             0.14085,           0.0077409,           0.0077409,           0.0077409
                 109,            0.037461,            0.021227,           0.0042934,             0.14018,             0.87994,             0.83305,              0.8591,             0.35235,            0.037427,            0.020936,           0.0056782,             0.14431,           0.0077031,           0.0077031,           0.0077031
                 110,            0.038339,            0.023251,           0.0031062,              0.1404,             0.90762,             0.86494,             0.87101,             0.33903,            0.033451,            0.021113,           0.0043275,             0.14207,           0.0076651,           0.0076651,           0.0076651
                 111,            0.037829,            0.024935,           0.0039085,             0.14036,             0.84222,             0.80911,             0.77638,             0.32814,            0.035384,            0.021024,           0.0040983,             0.14025,           0.0076269,           0.0076269,           0.0076269
                 112,            0.038312,            0.025271,           0.0038561,             0.14069,             0.91455,             0.86819,             0.90088,             0.33312,            0.037796,            0.020698,           0.0062516,             0.13883,           0.0075886,           0.0075886,           0.0075886
                 113,            0.036883,            0.023998,           0.0038889,              0.1376,             0.90723,                0.89,             0.89496,             0.37709,            0.038653,            0.020201,           0.0056839,             0.13973,           0.0075501,           0.0075501,           0.0075501
                 114,            0.038692,            0.023855,           0.0041889,             0.13942,             0.90461,             0.88221,             0.89546,             0.39575,             0.03667,            0.020805,            0.004931,             0.13958,           0.0075114,           0.0075114,           0.0075114
                 115,            0.038137,            0.022395,           0.0038699,              0.1382,             0.87444,             0.84177,             0.87305,             0.34848,            0.034223,            0.019977,           0.0060655,              0.1422,           0.0074725,           0.0074725,           0.0074725
                 116,            0.036426,            0.023361,           0.0038813,             0.13901,             0.87642,              0.8601,             0.86667,             0.35423,            0.037125,            0.020807,           0.0049374,             0.13947,           0.0074335,           0.0074335,           0.0074335
                 117,            0.035099,            0.022345,           0.0037802,             0.14067,             0.82164,             0.80909,             0.81638,             0.31716,            0.038598,            0.021236,           0.0046007,             0.13926,           0.0073943,           0.0073943,           0.0073943
                 118,             0.03619,            0.024381,           0.0040192,             0.13851,             0.92888,              0.8846,             0.90209,             0.34788,            0.036405,            0.020507,           0.0047013,             0.14281,            0.007355,            0.007355,            0.007355
